SpotifyID,Track,Artist,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness,is_hit
58spuRyMUsjKHQHEGwLC99,80s Mercedes,Maren Morris,0.485,0.834,9,1,0.0715,0.0665,0.0,0.28,0.659,90.933,211767,-5.413,1
6LdR1UYMIqsaaUt0hiWVBN,Dio Nisia,Giorgos Sabanis,0.691,0.762,2,1,0.0285,0.0808,0.0,0.134,0.529,116.024,248427,-7.321,0
3gQRcZZeBCMGANY1wT2x6A,Hooked On A Feeling (Ooga-Chaka),Baby Talk,0.613,0.678,8,1,0.106,0.542,0.0,0.0391,0.911,118.629,181107,-7.85,1
54p39OJ544KF6iFeCzbVjs,Tennessee Rain,Addison Agen,0.553,0.232,9,1,0.0326,0.907,0.0,0.123,0.274,137.8,210986,-6.929,1
5JxJQxSxpK3B7ShOV2bz9f,French Touch,Richard Galliano,0.647,0.567,4,0,0.0388,0.407,0.441,0.151,0.674,113.256,210720,-10.191,0
0iSaO7CfL9NgXdM8Meu2ul,Beautiful People,Chris Brown Featuring Benny Benassi,0.417,0.806,5,0,0.16,0.0703,0.00637,0.0841,0.545,127.887,226773,-5.339,1
4jTiyLlOJVJj3mCr7yfPQD,This Could Be Us,Rae Sremmurd,0.732,0.69,0,0,0.134,0.291,0.0,0.116,0.758,143.072,206307,-4.992,1
0dKUe8hJdtsfDAaGDWuBzF,Goin' Steady,Tommy Sands,0.715,0.445,10,1,0.0357,0.674,0.0,0.117,0.748,126.271,156560,-8.748,0
4Xrq3LCjFcSkH1szq5SVv3,White Girl Who Can Dance,HardNox,0.78,0.714,9,1,0.195,0.0558,0.0,0.333,0.824,144.148,228880,-5.362,0
0Gd8J8ub1xeB6OkiOpo1Hk,Una Sopita De Tu Propio Chocolate,Angélica María,0.79,0.697,0,1,0.0975,0.663,5.59e-06,0.143,0.895,113.57,171227,-9.416,0
7qGMJ9FTLYR1iwdyiScY0e,Love And Wealth,Charlie Louvin,0.649,0.112,9,1,0.0841,0.931,0.0,0.505,0.549,89.089,150773,-21.399,0
2vkPbprJ4BTjF9p4wiKFgi,Body & Soul,Anita Baker,0.537,0.474,1,0,0.0344,0.618,0.0,0.193,0.275,109.09,236400,-8.549,1
6I6NX6tjGsxFAsIfGzY9lJ,Deja Vu,J. Cole,0.657,0.421,9,1,0.412,0.352,0.000218,0.187,0.181,174.063,264747,-11.378,1
60BDdtewGFEpxjwNZcGEeF,Drifting,David Arkenstone,0.13,0.277,2,0,0.108,0.869,0.669,0.38,0.12,74.032,480267,-23.212,0
6VWUOFXGwH1OgyPrfRONrn,Bring It Back,Travis Porter,0.944,0.76,11,0,0.0851,0.116,0.0,0.113,0.545,98.001,217907,-4.355,1
5xgAPoTn4YswCIOjAGNWJI,Spotlight,Gucci Mane Featuring Usher,0.781,0.806,10,0,0.137,0.0982,0.0,0.403,0.69,125.019,236080,-4.2,1
5igzD9gFG7lwqfNjiKyV0m,Anything Is Possible,Debbie Gibson,0.696,0.861,8,0,0.0342,0.253,0.0,0.287,0.904,110.069,223453,-7.298,1
3vlhjgeKW3u1Fjzf6JiJvo,Could This Be Love,Seduction,0.526,0.484,0,1,0.0254,0.448,0.0,0.109,0.276,73.978,380400,-11.302,1
0HMjXBAZmSYOTTi33WpMso,History,One Direction,0.655,0.699,11,1,0.0493,0.0352,0.0,0.064,0.802,86.704,187427,-4.421,1
5t4sCpGfhICILq7eORaa0o,Evening,Vanessa Daou,0.686,0.519,1,1,0.0405,0.212,0.00534,0.112,0.355,144.91,220067,-12.253,0
6UFpbLu6DpxTZzCHlb1A1j,All Things Considered,Yankee Grey,0.656,0.746,8,1,0.0325,0.237,0.0,0.0214,0.96,140.865,159667,-5.379,1
6gsmFgUiSTuinJlScwFODv,I Love You,Faith Evans,0.489,0.757,11,0,0.0926,0.00981,0.0,0.234,0.567,168.004,267160,-4.062,1
4o2d25zcVbx5BEaHcKbtOI,In My Bed,Amy Winehouse,0.539,0.809,10,0,0.0683,0.114,1.02e-05,0.0715,0.724,95.631,317000,-8.851,0
1aIqyqTYyZTbobKi0xBEKy,Today,Electrostatic,0.331,0.946,6,1,0.12,0.137,0.00784,0.073,0.585,86.644,285893,-6.728,0
22hR7aDYKZrPKH18YLlyaV,Too Many Rappers,Beastie Boys Featuring Nas,0.627,0.872,11,0,0.158,0.00566,0.0,0.522,0.548,93.728,291800,-4.388,1
4WqIpnqW9EvBXlT4jJFa0M,Tic-Tac-Toe,Kyper,0.808,0.912,7,1,0.149,0.00427,0.0853,0.315,0.402,125.812,383427,-5.277,1
7L06pF5o819jflseQ4Wde5,Never Keeping Secrets,Babyface,0.693,0.648,11,0,0.0248,0.0949,0.0,0.14,0.319,113.117,293267,-6.411,1
326PNDBaM8pPS6XiwiX49p,Deliverance,Sick Puppies,0.154,0.954,10,0,0.106,1.16e-05,0.0,0.292,0.299,181.221,192387,-4.501,0
4U2KxqgKcwBM5xuJ7dD3uv,We Can Do It,Steel Pulse,0.755,0.546,10,1,0.0629,0.0897,0.0,0.0895,0.725,145.823,240600,-12.049,0
3QlTzofanSqDWywxEzGGE2,Fantastic Voyage,Coolio,0.888,0.584,7,1,0.112,0.0389,3.25e-06,0.0625,0.762,104.704,334440,-13.308,1
2334WaCjswLcRIRgTTPWaZ,Hustler Musik,Lil Wayne,0.661,0.746,8,0,0.25,0.36,0.0,0.454,0.678,83.939,303667,-2.223,1
4ckYtCucL8hyGBdEOcL2ns,Monster,Fred Schneider,0.83,0.732,5,0,0.0539,0.0897,0.000431,0.386,0.954,139.356,235733,-9.276,1
1zqllQUMCgMaInr0CzFVll,Wake Up Call,Maroon 5,0.632,0.949,4,0,0.0593,0.0302,0.0,0.0871,0.969,164.118,201307,-2.671,1
1tZ5C8zI326sIB4kBErdmC,Let Me Down Easy,Billy Currington,0.606,0.497,1,1,0.0278,0.361,0.0,0.106,0.18,125.059,228493,-5.005,1
3CcvahnsiArpTHYQEWV2Au,Bring Em Out,T.I.,0.759,0.891,11,1,0.257,0.0298,0.0,0.141,0.587,98.579,216707,-2.983,1
0uLhNT7UIH3nZCCDZd3OBl,Anna-Molly,Incubus,0.451,0.973,8,1,0.0514,0.00428,7.36e-06,0.0924,0.628,151.885,225880,-2.611,1
1YwQOcEn4h7baGBxfgUfyI,Red River Falling /O rubor sanguinis,Richard Souther,0.593,0.262,2,0,0.033,0.857,0.862,0.118,0.0398,110.365,283267,-16.066,0
4oFtLSgHyZPNYDCcANhTnO,Institutionalized,Kendrick Lamar Featuring Bila,0.539,0.731,3,0,0.453,0.112,1.19e-06,0.129,0.568,81.114,271773,-5.085,1
7sT3O2PXs1o12XnCKlv204,Drop,The Pharcyde,0.849,0.744,10,0,0.274,0.301,4.79e-06,0.234,0.695,95.098,334467,-6.993,1
2mlSQ1JZkgptStT9PXArjh,Hold On To Me,John Michael Montgomery,0.488,0.425,10,1,0.0262,0.333,0.0,0.104,0.233,165.06,251200,-9.407,1
259NZlIf0ZgOjFDNOM77m3,Calm Down Dad,Helen Love,0.786,0.83,2,1,0.0666,0.174,0.0,0.343,0.902,102.515,145333,-4.684,0
7xeOspXk9qgSvorRl4LX5p,I Can't Take You Anywhere,Scotty Emerick With Toby Keith,0.726,0.717,5,1,0.0296,0.439,0.0,0.0622,0.877,108.962,196960,-5.139,1
2P2gqHfmJWLorN0GDnpzHG,Cajun Honey (Cajun Lovin' Style),Rod Bernard,0.615,0.406,7,1,0.0296,0.016,0.00319,0.311,0.853,77.565,103453,-13.829,0
3G69vJMWsX6ZohTykad2AU,One,U2,0.392,0.534,0,1,0.0369,0.245,0.00104,0.155,0.325,181.305,276187,-8.793,1
5e7ati4Dx5ax2YapfnV5FS,Who Did You Think I Was,John Mayer,0.292,0.952,7,1,0.134,0.0138,0.347,0.795,0.442,99.54,263373,-6.026,0
23f3GzgcgG4Bq3So8ki4ES,Whirlpool [Live],Seal,0.346,0.66,4,0,0.0332,0.0172,3.79e-05,0.0542,0.595,92.984,279733,-10.276,0
4AumKAnMygP1baZGTZrRdp,Little Bit Of You,Chase Bryant,0.612,0.865,1,1,0.0424,0.0639,0.0,0.0801,0.643,121.972,186240,-4.277,1
4xTNksNuXORn62bGXsGZXd,Deja Vu,Lauren Duski,0.433,0.337,2,1,0.0383,0.691,0.0,0.0873,0.243,71.569,187824,-6.386,1
2OXDI0MJemysDKySzFidya,Nuttin' 2 Somethin',T-Bone,0.928,0.783,2,1,0.161,0.0496,2.73e-06,0.171,0.889,98.076,223956,-7.088,0
2ijef6ni2amuunRoKTlgww,Sin Pijama,Becky G + Natti Natasha,0.791,0.745,11,0,0.0464,0.354,2.93e-05,0.104,0.82,94.014,188560,-3.695,1
